   Time             I(L1)             Ibat              V(L1)             K2                K1                Vbat_U            Vbat            
 1.900000000E+002  1.012562566E+001  1.012565762E+001  3.194716720E+002  0.000000000E+000  1.000000000E+000  3.196156030E+002  4.282165806E-001 
 2.000000000E+002  1.065803996E+001  1.065807191E+001  3.194254801E+002  0.000000000E+000  1.000000000E+000  3.195717834E+002  4.744026462E-001 
 2.100000000E+002  1.119037529E+001  1.119040724E+001  3.193769221E+002  0.000000000E+000  1.000000000E+000  3.195255974E+002  5.229548221E-001 
 2.200000000E+002  1.172262773E+001  1.172265967E+001  3.193259983E+002  0.000000000E+000  1.000000000E+000  3.194770452E+002  5.738727486E-001 
 2.300000000E+002  1.225479331E+001  1.225482525E+001  3.192727091E+002  0.000000000E+000  1.000000000E+000  3.194261273E+002  6.271560484E-001 
 2.400000000E+002  1.278686812E+001  1.278690005E+001  3.192170550E+002  0.000000000E+000  1.000000000E+000  3.193728440E+002  6.828043269E-001 
 2.500000000E+002  1.331884819E+001  1.331888012E+001  3.191590363E+002  0.000000000E+000  1.000000000E+000  3.193171957E+002  7.408171717E-001 
 2.600000000E+002  1.385072960E+001  1.385076152E+001  3.190986535E+002  0.000000000E+000  1.000000000E+000  3.192591828E+002  8.011941531E-001 
 2.700000000E+002  1.438250840E+001  1.438254032E+001  3.190359070E+002  0.000000000E+000  1.000000000E+000  3.191988058E+002  8.639348239E-001 
 2.800000000E+002  1.491418066E+001  1.491421256E+001  3.189707972E+002  0.000000000E+000  1.000000000E+000  3.191360652E+002  9.290387192E-001 
 2.900000000E+002  1.544574242E+001  1.544577432E+001  3.189033247E+002  0.000000000E+000  1.000000000E+000  3.190709613E+002  9.965053567E-001 
 3.000000000E+002  1.597718977E+001  1.597722166E+001  3.188334900E+002  0.000000000E+000  1.000000000E+000  3.190034946E+002  1.066334237E+000 
 3.100000000E+002  1.650851876E+001  1.650855064E+001  3.187612936E+002  0.000000000E+000  1.000000000E+000  3.189336658E+002  1.138524842E+000 
 3.200000000E+002  1.703972545E+001  1.703975733E+001  3.186867359E+002  0.000000000E+000  1.000000000E+000  3.188614752E+002  1.213076637E+000 
 3.300000000E+002  1.757080591E+001  1.757083778E+001  3.186098177E+002  0.000000000E+000  1.000000000E+000  3.187869234E+002  1.289989071E+000 
 3.400000000E+002  1.810175621E+001  1.810178807E+001  3.185305393E+002  0.000000000E+000  1.000000000E+000  3.187100109E+002  1.369261573E+000 
 3.500000000E+002  1.863257241E+001  1.863260426E+001  3.184489015E+002  0.000000000E+000  1.000000000E+000  3.186307384E+002  1.450893556E+000 
 3.600000000E+002  1.916325058E+001  1.916328243E+001  3.183649048E+002  0.000000000E+000  1.000000000E+000  3.185491064E+002  1.534884415E+000 
 3.700000000E+002  1.969378679E+001  1.969381863E+001  3.182785498E+002  0.000000000E+000  1.000000000E+000  3.184651156E+002  1.621233528E+000 
 3.800000000E+002  2.022417711E+001  2.022420894E+001  3.181898373E+002  0.000000000E+000  1.000000000E+000  3.183787665E+002  1.709940256E+000 
 3.900000000E+002  2.075441762E+001  2.075444944E+001  3.180987678E+002  0.000000000E+000  1.000000000E+000  3.182900597E+002  1.801003942E+000 
 4.000000000E+002  2.128450438E+001  2.128453619E+001  3.180053420E+002  0.000000000E+000  1.000000000E+000  3.181989961E+002  1.894423910E+000 
 4.100000000E+002  2.181443346E+001  2.181446526E+001  3.179095606E+002  0.000000000E+000  1.000000000E+000  3.181055761E+002  1.990199469E+000 
 4.200000000E+002  2.234420095E+001  2.234423274E+001  3.178114243E+002  0.000000000E+000  1.000000000E+000  3.180098005E+002  2.088329909E+000 
